#;Project;Commit ID;Issue Type;Parent Issue;Status;Priority;Subject;Author;Assignee;Category;Target Version;Start Date;Created;Updated;Closed;Due Date;Estimated;% Done;Create Prev Commit; Created Next Commit;Updated Prev Commit;Updated Next Commit;Closed Prev Commit;Closed NExt Commit;Description
61005;Documentation Rendering;null;Bug;Epic #60470: Enhance PDF rendering;New;Should have;Improve positioning of figures in PDF files;Chris topher;;;;null;Sat Aug 16 15:37:00 EEST 2014;Thu Oct 02 00:10:00 EEST 2014;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"Shouldn't the CGL reflect that change? (http://docs.typo3.org/typo3cms/CodingGuidelinesReference/singlehtml/#copyright-notice)I haven't checked with the ExtensionBuilder extension yet.'"
60997;Documentation Rendering;null;Bug;Epic #60470: Enhance PDF rendering;Resolved;Should have;Add linebreaks in literal blocks;Chris topher;Chris topher;;;null;Fri Aug 15 15:21:00 EEST 2014;Thu Sep 25 13:26:00 EEST 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"The generated LaTeX files have figures in them like so:<pre>\begin{figure}[htbp]...\end{figure}</pre>The values behind the word ''figure'' tell the LaTeX renderer how it should render the image:h=heret=top of next pageb=bottom of pagep=somewhere later on a page together with other imagesAll these values do _not_ place the images the way we want. Even only using ''h'' still does not always place the image directly where it belongs. This can also not be fixed by using ''!h'' like so: @\begin{figure}[!h]@. ''!h'' strongly suggests LaTeX to really put the image where it has been found. However, should it for some reason not fit at that exact place, LaTeX will float following text above the image, which again displaces it. Using @\begin{figure}[H]@ finally _does_ position images correctly. In my tests this was the _only_ way to get images placed properly (tested with the CoreAPIReference). This value can be set in conf.py in the latex_elements section:<pre>'figure_align': 'H'</pre>''Docs'':http://sphinx.readthedocs.org/en/latest/config.html#options-for-latex-outputIn order for this option (''H'') to work, we need to use the package ''float'' in the tex file like so:<pre>\usepackage{float}</pre>However, our version of sphinx (version 1.2pre) does not yet support the ''figure_align'' option. We will have to update sphinx to a current version in order to get support for it. ''This is the commit we want.'':https://bitbucket.org/birkenfeld/sphinx/commits/0f18c81b53fcaa4db81afaa2d5cf7c32edde93b9 (not yet released)In the meantime we can fix this by modifying the generated tex file, e.g. with @sed@ from inside cron_rebuild.sh:<pre>    sed -i'''' 's/\\usepackage{typo3}/\\usepackage{float}\n\\usepackage{typo3}/' $BUILDDIR/latex/$PROJECT.tex    sed -i'''' 's/\\begin{figure}\[htbp\]/\\begin{figure}\[H\]/' $BUILDDIR/latex/$PROJECT.tex</pre>'"
60962;Documentation Rendering;null;Bug;Epic #60470: Enhance PDF rendering;Resolved;Should have;Adjust colors in PDFs;Chris topher;Chris topher;;;null;Wed Aug 13 19:34:00 EEST 2014;Fri Feb 20 11:38:00 EET 2015;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"Add line breaks so this won't happen!---Same question, but yet unsolved: http://stackoverflow.com/questions/15580456/ignore-newline-in-rst-literal-block'"
60879;Documentation;null;Bug;;New;Should have;ReST Documentation of extension placements not rendered after upload to TER;Dirk Wenzel;;Manuals;;null;Sun Aug 10 20:08:00 EEST 2014;Mon Aug 11 17:01:00 EEST 2014;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"<pre>\definecolor{typo3orange}{rgb}{1.0, 0.53, 0}\def\linkcolor\typo3orange\def\headtextcolor\typo3orange\def\visitedlinkcolor\grey</pre>(?grey? might already be predefined.)For my eyes the readability of the result - also in printing - is absolutely ok. Readability for printing optionally could be improved by setting @ocgcolorlinks@ for the hyperlinks package like so:<pre>\usepackage[ocgcolorlinks]{hyperref}</pre>This option could then be given when loading hyperref. Note that you cannot give it in \hypersetup. However, in _my_ opinion setting @ocgcolorlinks@ is not necessary at all.---[1] http://sphinx-doc.org/theming.html'"
60870;ReST tools;null;Bug;;Resolved;Should have;Improve ref-targets-list directive;Chris topher;Chris topher;;;null;Sat Aug 09 15:58:00 EEST 2014;Thu Sep 25 16:28:00 EEST 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"I my local environment (TYPO3 6.2.4 BE with Sphinx Extension version 2.1.0 and version Sphinx version 1.2.2)  everything seems allright.I removed the default doc/manual.sxw and did a new upload. This didn't help either.Could you please help me figure out what's wrong.CheersDirk'"
60843;Documentation Rendering;null;Task;Epic #60470: Enhance PDF rendering;Resolved;Should have;Change the TYPO3 logo;Xavier Perseguers;Xavier Perseguers;;;null;Thu Aug 07 16:22:00 EEST 2014;Fri Aug 08 07:22:00 EEST 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"It creates links to ChapterName/Index.html#anchor-name (and to the according .rst file). Appending the anchor-name is correct, however, for the singlehtml version the *file* of the link target (ChapterName/Index.html) is wrong, the linked files do not exist there. Instead the links should always point to the central Index.html file. The link to the rst file (which points to the _source/ folder) should be removed, the singlehtml version does not come with a _source/ folder currently.For the PDF version neither the target in the source files nor in the PDF is linked, either fix the links to point to the accoring label in the PDF (more or less like the TOC does) or I would tend to just leaving the directive out in the PDF files. Or maybe better (given that the _chapter_ will be there anyway) only put a sentence like ''An overview of the labels for cross linking can be found here: '' and then the URL to the online documentation in its default version.Will need change in https://git.typo3.org/Documentation/RestTools.git/blob/HEAD:/ExtendingSphinxForTYPO3/src/t3sphinx/ext/targets.py, process_reftargetslist_nodes(). The definition of relpath and/or rstrelpath should be changed.'"
60838;Documentation Rendering;null;Bug;;Resolved;Should have;Fix broken search in the singlehtml versions;Chris topher;Chris topher;;;null;Thu Aug 07 00:25:00 EEST 2014;Thu Aug 07 00:46:00 EEST 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;""
60828;Documentation Rendering;null;Task;;Resolved;Should have;Add styling for the left hand side menu in the singlehtml version;Chris topher;Chris topher;;;null;Wed Aug 06 19:07:00 EEST 2014;Wed Aug 06 19:23:00 EEST 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"Reason is that singlehtml/search.html gets requested, which is not there. Correct would be to request search.html instead.Fix with an external, permanent redirect.'"
60813;TYPO3.Docs;null;Task;;New;Should have;Update Domain Models;Marc Neuhaus;Marc Neuhaus;;;null;Wed Aug 06 09:33:00 EEST 2014;Wed Aug 06 09:33:00 EEST 2014;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"I have tested the problem and I think this can be fixed by ?simply? adding the correct ids/classes to the HTML code (with other words: the CSS needed for the styling is already there and no change is needed at that point).In the ?ordinary? page versions (e.g. http://docs.typo3.org/typo3cms/InstallationGuide/ ) this is what the HTML code looks like:<pre><ul id=''nav-aside'' class=''cnt-2''><li class=''toctree-l1 nav-aside-lvl1 cnt-3''><a class=''cnt-5 nav-aside-lvl1 reference internal'' href=''Introduction/Index.html''>Introduction</a></li><li class=''toctree-l1 nav-aside-lvl1 cnt-6''><a class=''cnt-8 nav-aside-lvl1 reference internal'' href=''QuickInstall/Index.html''>Introduction</a></li></pre>The result of this HTML is styled correctly.In the singlehtml/ version however, (e.g. http://docs.typo3.org/typo3cms/InstallationGuide/singlehtml/ ) this in contrast is the HTML code (note the missing classes):<pre><ul><li class=''toctree-l1''><a class=''reference internal'' href=''Index.html#document-Introduction/Index''>Introduction</a></li><li class=''toctree-l1''><a class=''reference internal'' href=''Index.html#document-QuickInstall/Index''>Quick Installation</a></li></pre>The result is unstyled.I could fix this by adding exactly three things:Add to the ul tag: id=''nav-aside'' andAdd to each li tag the class: ''nav-aside-lvl1'' andAdd to each a tag the class: ''nav-aside-lvl1''Where and how must these changes be integrated in order to by default become part of all newly generated singlehtml/ versions?'"
60744;Security Guide;null;Task;;Closed;Should have;Raise version of TYPO3 Security Guide to 1.0.6;Michael Schams;Michael Schams;;1.0.6;null;Sat Aug 02 14:40:00 EEST 2014;Mon Aug 04 14:00:00 EEST 2014;null;null;3.00;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;""
60719;Documentation Rendering;null;Feature;;Closed;Should have;Add piwik tracking code;Francois Suter;;;;null;Fri Aug 01 00:48:00 EEST 2014;Thu Aug 21 21:22:00 EEST 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"Depends on review of #57144, #59030 and #59398.'"
60689;wiki.typo3.org;null;Task;;Resolved;Should have;Update MediaWiki to 1.23.2;Chris topher;Chris topher;;;null;Wed Jul 30 22:35:00 EEST 2014;Wed Jul 30 22:49:00 EEST 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"could you please include the following Piwik code in the docs.typo3.org web site?Would be interesting to see the amount of visitors.<pre><!-- Piwik --><script type=''text/javascript''>  var _paq = _paq || [],  _paq.push([''trackPageView'']),  _paq.push([''enableLinkTracking'']),  (function() {    var u=((''https:'' == document.location.protocol) ? ''https'' : ''http'') +''://piwik.typo3.org/'',    _paq.push([''setTrackerUrl'', u+''piwik.php'']),    _paq.push([''setSiteId'', ''26'']),    var d=document, g=d.createElement(''script''), s=d.getElementsByTagName(''script'')[0],g.type=''text/javascript'',    g.defer=true, g.async=true, g.src=u+''piwik.js'', s.parentNode.insertBefore(g,s),  })(),</script><!-- End Piwik Code --></pre>'"
60682;Documentation;null;Bug;;Resolved;Should have;Links to version pages on forge are not working anymore;Christian Nölle;;;;null;Wed Jul 30 14:53:00 EEST 2014;Mon Aug 04 16:35:00 EEST 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"Also check extensions, which might be vulnerable as well.'"
60500;TYPO3.Docs;null;Bug;;New;Should have;Add UserAuthentication;Marc Neuhaus;Marc Neuhaus;;;null;Wed Jul 23 15:20:00 EEST 2014;Wed Jul 23 15:20:00 EEST 2014;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"'"
60499;Documentation Rendering;null;Task;Epic #60470: Enhance PDF rendering;New;Should have;Change default font ;Xavier Perseguers;;;;null;Wed Jul 23 14:59:00 EEST 2014;Wed Jul 23 15:05:00 EEST 2014;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"- create User Model- create Administrator role- create a controller to log- create a policy for all existing controllers that need to be secured '"
60290;FAL Documentation;null;Bug;;Resolved;Should have;Fix a broken sentence on DAM;Franz Holzinger;Chris topher;;;null;Sat Jul 12 17:05:00 EEST 2014;Mon Apr 18 20:30:00 EEST 2016;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"Jigal van Hemert:bq. Current font is used too much in the world and it was designed in a time when print was done on absorbing (news) paper. If you put ink on a newspaper it runs a bit. The sharp features of a glyph are softened a bit.ben van 't ende:bq. I find ''calluna'':http://www.exljbris.com/calluna.html a beautiful serif font. the regular is free.Xavier Perseguers:bq. I found a demo of various fonts w/ LaTeX, incl. Calluna ''here'':http://ctan.math.utah.edu/ctan/tex-archive/macros/xetex/latex/fontbook/fontbook-freefonts.pdf'"
60278;wiki.typo3.org;null;Task;;Resolved;Should have;Update the BugtrackerStatus extension for new Forge version;Chris topher;Chris topher;;;null;Fri Jul 11 19:57:00 EEST 2014;Fri Jul 11 22:17:00 EEST 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"<pre>''DAM does not work with FAL currently, and FAL will not support using the DAM, instead, FAL provides a . Extensions which depend on DAM need manual adaption, see the developers section for more details.''</pre>A part is missing here:<pre>instead, FAL provides a </pre>what does FAL provide?'"
60184;Inside TYPO3;null;Bug;;New;Should have;TYPO3 4.5: CSH for FlexForms;Chris topher;;;;null;Tue Jul 08 14:30:00 EEST 2014;Tue Jul 08 14:39:00 EEST 2014;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"Update the code in extensions/BugtrackerStatus/... accordingly so that it works with the structure of the response as it is now. Also use http*s* instead of http now - might also be part of the problem.'"
60160;TSconfig;null;Bug;;Resolved;Should have;"Document ""addWhere"" for suggest wizard";Wouter Wolters;;;6.2;null;Mon Jul 07 20:29:00 EEST 2014;Sat Aug 13 14:57:00 EEST 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"CSH for FlexForms is handled more cleanly but requires adjustments. This has an impact in particular for FE plugins. To continue displaying<br> the CSH for their FlexForm, the CSH file must be declared as for other elements, i.e. <pre> t3lib_extMgm::addLLrefForTCAdescr('somekey', 'EXT:myext/locallang_csh.xml'),</pre> The key is defined as follows: <pre>[table name].[field name].[DS pointer field 1](.[DS pointer field 2])</pre> The table and the field are those where the FlexForm is used. In most cases this will be ''tt_content.pi_flexform''. The next elements of the key (still separated with dots) are the values of the field or fields (there may be only one) defined in the ''ds_pointerField'' property for the TCA of the FlexForm field. In the case of plugin options, the ''ds_pointerField'' property is set to ''list_type,CType'', so the key would be of the form:<br> <pre>tt_content.pi_flexform.[value of list_type field].list</pre> ''list'' being the value of the CType field for a FE plugin. To give a complete example, let's assume that the plugin used is from the ''comments'' extension, the full key will be:<br> <pre>tt_content.pi_flexform.comments_pi1.list</pre> because ''comments_pi1'' is the value found in the field ''list_type'' when using the plugin provided by the ''comments'' extension. So the ''comments'' extension would use the following call to register its FlexForm CSH:<br> <pre>t3lib_extMgm::addLLrefForTCAdescr('tt_content.pi_flexform.comments_pi1.list', 'EXT:comments/pi1/locallang_csh.xml'),</pre> With this new method, it is not necessary anymore to point to the CSH&nbsp,file from within the FlexForm's DS, though the ''cshFile'' tag should be left for compatibility with older versions of TYPO3. On top of the above, it is advised (but not required) to use the ''alttitle'' in the CSH structure intensively, as it will improve the information displayed in the help pop-up window. In particular, don't forget to define the ''general alttitle'' which is used at the top of the window. Example: <pre>&lt,label index=''.alttitle''&gt,My plugin's cool configuration options&lt,/label&gt,</pre>'"
60046;TSconfig;null;Feature;;Closed;Should have;Document mod.web_ts.disableCacheClearing;Alexander Stehlik;;;7;null;Tue Jul 01 22:05:00 EEST 2014;Sun Nov 16 17:17:00 EET 2014;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"Markers that are possible for replacement###THIS_UID######CURRENT_PID######PAGE_TSCONFIG_ID######PAGE_TSCONFIG_IDLIST######PAGE_TSCONFIG_STR###Example:<pre>'related_records' => array(	'label' => 'LLL:EXT:examples/Resources/Private/Language/locallang_db.xlf:tx_examples_haiku.related_records',	'config' => array(		'type' => 'group',		'internal_type' => 'db',		'allowed' => 'pages',		'size' => 5,		'minitems' => 0,		'maxitems' => 10,		'wizards' => array(			'suggest' => array(				'type' => 'suggest',				'default' => array(					'searchWholePhrase' => 1,					'addWhere' => 'AND pages.pid=###PAGE_TSCONFIG_ID###',				),				'pages' => array(					'searchCondition' => 'doktype = 1'				)			)		)	)),</pre>'"
59875;Documentation Rendering;null;Bug;Epic #57147: Rework design and general content of docs.typo3.org;Resolved;Should have;TOC is included twice;Xavier Perseguers;Martin Bless;;;null;Wed Jun 25 14:10:00 EEST 2014;Fri Dec 18 23:22:00 EET 2015;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"<pre>mod.web_ts.disableCacheClearing = 1</pre>The option is of type @boolean@.If set to TRUE the cache will *not* be cleared automatically when changes are made in the template modules.'"
59861;Templating Tutorial;null;Major Feature;;Closed;Should have;doc_tut_templating extension can't be installed on 6.2.x;XIA IT Support;;;;null;Wed Jun 25 08:18:00 EEST 2014;Wed Jun 25 08:31:00 EEST 2014;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"* http://docs.typo3.org/typo3cms/extensions/sphinx/Index.html* http://docs.typo3.org/typo3cms/extensions/restdoc/Index.html* http://docs.typo3.org/typo3cms/extensions/image_autoresize/Index.html* http://docs.typo3.org/typo3cms/extensions/ig_ldap_sso_auth/Index.htmlProblem is that toctree is defined once for HTML output and another time for LaTeX output. It works well with JSON and PDF output but somehow our HTML template must be broken since the PDF TOC is included regardless of the condition.'"
59552;ReStructured Text Infrastructure;null;Bug;;Resolved;Should have;Edit me on GitHub fails with localized manuals;Xavier Perseguers;Xavier Perseguers;;;null;Fri Jun 13 15:39:00 EEST 2014;Fri Jun 13 17:36:00 EEST 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;""
59491;Core APIs;null;Bug;;Resolved;Should have;Typo in code example;Francois Suter;Francois Suter;;6.2;null;Wed Jun 11 14:17:00 EEST 2014;Sun Jun 15 22:30:00 EEST 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;""
59369;Core APIs;null;Bug;;Needs Feedback;Should have;Document possibility to have modules as navigation frame;Helmut Hummel;Francois Suter;;6.2;null;Thu Jun 05 16:59:00 EEST 2014;Thu Aug 04 20:17:00 EEST 2016;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;""
59190;TYPO3 CMS - What's New;null;Bug;;Resolved;Should have;wrong urls for git repositories;Tymoteusz Motylewski;Michael Schams;TYPO3 6.2 - Slides (LaTeX);;null;Wed May 28 18:58:00 EEST 2014;Fri May 30 02:30:00 EEST 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"it was forgotten to implement a solution for navigation componentsthat also could be modules.Add this possibility now by introducing yet anotherconfiguration option for modules.'navigationFrameModule' name of the module that is loaded in the navigation frame'navigationFrameModuleParameters' additional parameters (if needed and specified)'"
59164;TCA Reference;null;Bug;;Closed;Should have;Cross-reference to Page TSconfig;Francois Suter;Francois Suter;;6.2.0;null;Wed May 28 09:54:00 EEST 2014;Fri Aug 01 14:22:00 EEST 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"TYPO3 Git Repositories:https://git.typo3.org/TYPO3v4/Core.githttps://git.typo3.org/TYPO3v4/CoreProjects/MVC/extbase.githttps://git.typo3.org/TYPO3v4/CoreProjects/MVC/fluid.gitBut should be just:http://git.typo3.org/Packages/TYPO3.CMS.git'"
59162;ReStructured Text Infrastructure;null;Feature;;Accepted;Must have;Make the the Github hook receiver handle branches;Martin Bless;Martin Bless;;;null;Wed May 28 09:41:00 EEST 2014;Wed May 28 09:41:00 EEST 2014;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;""
59139;TSconfig;null;Bug;;Resolved;Should have;history.maxAgeDays has different range and defaults in code;Jigal van Hemert;Christian Woebbeking;;6.2;null;Tue May 27 14:53:00 EEST 2014;Sun Jan 04 21:01:00 EET 2015;null;null;0.10;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;""
59109;wiki.typo3.org;null;Bug;;Resolved;Should have;"update.php gives notices ""Content of archive xxx unavailable!""";Chris topher;Chris topher;;;null;Mon May 26 00:27:00 EEST 2014;Wed Jun 04 18:56:00 EEST 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"Documentation claims:- default: 7- range: 0-200Code uses:- default: 30- range: 0-365(Of course only valid for versions < 6.0)'"
59089;Core APIs;null;Feature;;New;Should have;Document Signal/Slot mechanism;Francois Suter;;;6.2;null;Sat May 24 21:37:00 EEST 2014;Tue Dec 22 13:31:00 EET 2015;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;" Content of archive 1 unavailable! Content of archive 4 unavailable! ... Content of archive 2104 unavailable! Content of archive 2117 unavailable!This was not the case in previous versions.'"
59048;Core APIs;null;Feature;;Resolved;Should have;Document TCA/Overrides;Francois Suter;Francois Suter;;6.2;null;Thu May 22 22:00:00 EEST 2014;Sat May 24 22:36:00 EEST 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;""
59038;TypoScript Reference (TSref);null;Bug;;Resolved;Should have;cObject CONTENT: Add link to the select function;Soren Malling;Chris topher;;6.2;null;Thu May 22 16:35:00 EEST 2014;Fri Nov 28 15:34:00 EET 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;""
58703;TypoScript Reference (TSref);null;Bug;;Resolved;Should have;Misspelled property name in data types => getText => file;Christian Stern;Chris topher;;6.0;null;Mon May 12 07:34:00 EEST 2014;Fri May 23 14:38:00 EEST 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"Is this for github or gerrit, let me know and I'll make the content change :-)'"
58698;ReST tools;null;Feature;;New;Should have;develop pygments TypoScript syntax-highlighter »plugin« + develop pygments Fluid-Templating syntax-highlighter plugin;Stephan Jorek;;;;null;Sun May 11 15:12:00 EEST 2014;Mon Aug 17 07:57:00 EEST 2015;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"name, size, sha1, extension, MIME type, contents, publicUrl, localPathShould be:name, size, sha1, extension, mime_type, contents, publicUrl, localPath'"
58294;TCA Reference;null;Bug;;Closed;Must have;Wrong property name in Columns/Select/Index.html;Stefan Froemken;Francois Suter;;6.2.0;null;Mon Apr 28 14:13:00 EEST 2014;Fri Aug 01 17:27:00 EEST 2014;null;null;;100;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"As a first step the current ''TypoScript syntax-highlighter'':http://forge.typo3.org/projects/tools-rest/repository/revisions/master/entry/ExtendingPygmentsForTYPO3/ should be installable via pip; setup tools or the like.This would allow external projects to integrate TypoScript syntax-highlighting much easier; simply by issuing a command like:<pre>$ easy_install Pygments-Typo3-Lexers</pre>The project I'm actively using; which would benefit from this solution: http://nevir.github.io/groc/ h1. The Proposal  - Part II:Later on this separate plugin could get merged directly into _pygments_. Then external _pygments_-related projects and users are able to render syntax-highlighted TypoScript out-of-the-box. The main user of _pygments_ I know for sure is: ''Github'':https://help.github.com/articles/using-jekyll-with-pages#defaults ? They are using (at least) _pygments_ to provide syntax-highlighting. A initial hint I stumbled upon is ''published here'':http://www.pocoo.org/#users . I followed this path and had in another project I'm contributing to; the chance to talk to some github-staff; who confirmed my assumption (verbally). They said; that they update their _pygments_ quite frequently; often daily or whenever a new syntax-lexer has been added. Therefore it should not be too difficult to get _TypoScript_- and maybe also _Fluid_-syntax-highlighting support into their platform; as long as we implement it properly and convince ''Georg Brandl'':https://bitbucket.org/birkenfeld to merge it into his _pygments_. He (and most other folks from this project) seem to be very kind and will certainly helps us to get this done right. But we should not start empty - and of course we don't need to. I think we need to offer something installable or at least merge-able in order to get them to work with us.h1. Suggested Solution:In order to achieve this goal it is necessary to stick to python's and especially _pygments_' development process. Therefore I created ''a new mercurial-based project on bitbucket'':https://bitbucket.org/sjorek/pygments-typo3-lexers that currently contains everything I found and is (if not already; then very soon) installable as suggested in Part I from above. I opened up this project to invite everybody interested to join the discussion and development-process there. I promise to manage this project open; transparent and as often as I can. But I don't want to ?over-pace? the whole process. I'm convinced that I'm a experienced enough Python-; _pygments_ and TYPO3/Flow developer to guide this process - at least I hope so for now. :-)h1. Open Questions:# Did I violate any licences by creating the project on bitbucket and distributing the current TypoScript-syntax-highlighter as a installable _pygments_-plugin ?# Does the project on bitbucket violate any specifications or guidelines ?# Who developed the current ''TypoScript-syntax-highlighter'':http://forge.typo3.org/projects/tools-rest/repository/revisions/master/entry/ExtendingPygmentsForTYPO3/_incoming/typoscript.py and how can I get in touch with them ? (Who is behind _?Donation Based Hosting?_ ?)# Shall we provide a combined _pygments_-plugin for TypoScript and Fluid or two separate _pygments_-plugins ?# The current TypoScript-syntax-highlighter seems to be incomplete; right ?  - The lastest addition to paths is missing; ie.: @TCEFORMS.table.field.''flex-form.sub-path''.?@h1. Open Tasks:# Write a simple roadmap# Invite everybody interested and able to use mercurial to the bitbucket project.As always I appreciate any feedback I can get here. Please do *not* use the bitbucket issue tracker to discuss this proposal yet. Use bitbucket only it for real code-issues only or better ignore it until we officially decide to use it.Cheerio + Thx;Stephan JorekP.S.: Apologies for my weak english ? if anybody wants to talk to me in my native language - its german ?PPS.: Um präzise zu sein - ick bin Berliner; also immer her mit der Kritik; den Nachfragen und all dem Geplänkel; ick kann det vertragen :-)'"
58104;TSconfig;null;Feature;;Needs Feedback;Should have;Hide cols in BE-Layouts;Stefan Froemken;;;;null;Tue Apr 22 21:45:00 EEST 2014;Mon May 05 14:46:00 EEST 2014;null;null;;0;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;580a57692f1808aeeb8e2c2d98ebc23b7964b1d7;null;null;null;"http://docs.typo3.org/typo3cms/TCAReference/Reference/Columns/Select/Index.html#mm-opposite-usageThere is no such a property. It seems to be: MM_oppositeUsage as you can see some lines deeper in the example of your docu.Stefan'"
